step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,balance_change_ratio,amount_deviation,type_encoded
103,PAYMENT,3274.081157726771,13985.257595934732,10599.60414467322,15020.672340186531,18344.83963561244,0.23410946385989262,0.6540370875779873,3
436,TRANSFER,11119.313351245493,2574.2081551737315,0.0,26705.004208599687,37901.59066771034,4.3195082452433065,3.1538108256496136,4
271,CASH_OUT,1645.0415236630117,19571.839604851117,17951.58170219889,38662.55865615229,40372.11892531022,0.0840514513135121,0.1349663456215364,1
107,CASH_IN,78.42785380597024,3770.3360897406155,3652.307069031031,34299.058693416526,34411.30636664365,0.020801289842403883,0.3642132341553332,0
72,DEBIT,5683.25266002927,7008.993369905998,1313.1643690542667,47547.250147370854,53317.74270149801,0.8108514818163527,1.4216859606020003,2
701,CASH_OUT,38.777943190993405,14137.545246277454,14118.302487233601,11932.332112671862,11989.081751411406,0.0027429049750489036,0.37684712475631377,1
21,PAYMENT,255.5103247702575,2808.978564420872,2689.5948426111186,33911.814284221924,34217.69919778798,0.09096200590727405,0.3077883764238996,3
615,TRANSFER,437.9771107639207,3410.124099955072,2968.0659364540547,47484.560871827554,47933.123758171336,0.12843436130951685,0.24964788186032003,4
122,CASH_OUT,7230.45153197549,17531.502882026303,10337.011755512724,4805.516570794982,11993.41308647769,0.41242622384577843,1.914679286008026,1
467,CASH_OUT,1586.0290306203021,6640.299000768981,5044.927844497552,28096.000891237134,29691.21090369428,0.23884903833948315,0.11616283838459691,1
215,PAYMENT,201.21288115083593,13311.68490969473,13128.270407548114,49219.590913341985,49349.27504065403,0.0151155081055363,0.32508949897275013,3
331,CASH_IN,97.76489774296071,17174.969836569016,17075.786178718205,3071.568332016872,3174.518231003199,0.00569228934159752,0.35805175500299397,0
459,CASH_OUT,1813.9988209544408,19464.014579836472,17628.915332146742,18147.298376184583,19942.64940889461,0.09319756792792544,0.1888022301698102,1
88,TRANSFER,181.2652746598783,4205.713817016299,4014.3226338963336,4249.977194454913,4475.49040299066,0.04309976440300807,0.3314455253609402,4
373,PAYMENT,558.4193100009203,2458.5622513198914,1962.4985208585101,29289.568615196655,29915.761846522306,0.22713246723817146,0.21127065615411653,3
100,CASH_IN,51.693666341655224,14814.73891645703,14777.502559494173,42636.34267881718,42634.24851739049,0.0034893403544379066,0.37273170984649107,0
664,CASH_OUT,947.5567056678175,3764.0365089981233,2756.6308740380323,12097.126008152536,13064.569969665517,0.25173950980619725,0.08727745643807354,1
131,PAYMENT,839.6983486742225,11603.804053810241,10742.893799490868,10212.131723358048,11072.483624787506,0.07236405792275491,0.12164501645330017,3
662,PAYMENT,62.65039007080649,10652.903345893508,10545.65780645791,26504.374001112592,26633.33224121967,0.005881062470632198,0.36924050275945725,3
309,PAYMENT,1895.8729466469597,11198.466004775208,9348.964326593466,17769.083932759073,19709.928830155186,0.169297557883243,0.2148902775577279,3
344,CASH_OUT,927.1531037239871,12995.856806773458,12030.73383438707,41305.48716789981,42288.69136411063,0.0713422067901482,0.09377877941273212,1
492,TRANSFER,1224.1920803736568,17017.841520415037,15836.740863523744,6698.223794529601,7941.981547814876,0.07193580213478218,0.0008685445537848931,4
414,PAYMENT,228.60187670262525,5436.361648319849,5256.588837034295,45723.3130224646,45891.35995245859,0.04205052781454973,0.3163623778240496,3
